"date","SPY","NVDA","MSFT","AMZN","AAPL","META","AVGO","GOOG","GOOGL","TSLA","JPM","WMT","V","LLY","ORCL","NFLX","MA","XOM","COST","PG","JNJ","HD","BAC"
2023-01-03,368.168701171875,14.302285194397,234.808929443359,85.8199996948242,123.47061920166,124.059394836426,53.1110191345215,89.1699600219727,88.5887069702148,108.099998474121,126.102340698242,46.3494567871094,203.514282226562,357.730377197266,80.9802322387695,294.950012207031,341.668090820312,97.812385559082,436.265350341797,142.464706420898,164.890106201172,296.275817871094,31.3084144592285
2023-01-04,371.010986328125,14.7359008789062,224.537673950195,85.1399993896484,124.744117736816,126.67505645752,53.759693145752,88.1858139038086,87.5549087524414,113.639999389648,127.278244018555,46.4011001586914,208.63671875,355.878051757812,81.7153396606445,309.410003662109,349.894561767578,98.0970611572266,439.422210693359,143.085052490234,166.685317993164,299.858428955078,31.8970279693604
2023-01-05,366.776458740234,14.2523326873779,217.882873535156,83.120002746582,123.421249389648,126.247406005859,53.2587852478027,86.2572631835938,85.6861038208008,110.339996337891,127.250045776367,46.2429504394531,207.164779663086,351.781158447266,81.550910949707,309.700012207031,346.564544677734,100.291900634766,433.291351318359,141.308609008789,165.45458984375,295.863159179688,31.8316211700439
2023-01-06,375.187438964844,14.8458042144775,220.45068359375,86.0800018310547,127.962440490723,129.310592651367,56.4647598266602,87.6390533447266,86.8193054199219,113.059997558594,129.685028076172,47.3758544921875,213.6806640625,355.721160888672,82.8567428588867,315.549987792969,362.817230224609,101.504096984863,464.744689941406,144.673522949219,166.796340942383,297.795135498047,32.1492881774902
2023-01-09,374.974761962891,15.6141214370728,222.597061157227,87.3600006103516,128.485641479492,128.763580322266,55.3573989868164,88.2752685546875,87.4952545166016,119.769996643066,129.149169921875,46.7852020263672,214.514755249023,342.871917724609,83.9053039550781,315.170013427734,366.073638916016,99.6123123168945,460.779296875,142.906448364258,162.47492980957,298.057708740234,31.6634502410889
2023-01-10,377.604400634766,15.894871711731,224.292633056641,89.870002746582,129.058242797852,132.264389038086,55.1693267822266,88.7126770019531,87.8928756713867,118.849998474121,130.305557250977,46.7561531066895,216.958236694336,345.733856201172,83.9829864501953,327.540008544922,366.113098144531,101.100036621094,463.329833984375,142.765472412109,162.086273193359,300.702423095703,31.8783359527588
2023-01-11,382.380310058594,15.9867877960205,231.074813842773,95.0899963378906,131.782943725586,132.164947509766,55.4773445129395,91.7148361206055,90.9743957519531,123.220001220703,131.27392578125,47.1660652160645,217.949356079102,353.241455078125,86.0218811035156,327.260009765625,372.872680664062,102.275520324707,466.130615234375,141.609375,161.827163696289,308.552276611328,32.1212577819824
2023-01-12,383.7724609375,16.4963359832764,233.760238647461,95.2699966430664,131.703964233398,135.964096069336,55.8419876098633,91.3668975830078,90.5867156982422,123.559997558594,131.142272949219,46.7400093078613,219.440933227539,351.977111816406,86.1966323852539,330.130004882812,374.796966552734,103.97444152832,464.321166992188,140.810424804688,161.01286315918,309.368133544922,32.2053375244141
2023-01-13,385.261291503906,16.8839912414551,234.465896606445,98.120002746582,133.036682128906,136.232620239258,55.5598754882812,92.2516479492188,91.5708160400391,122.400001525879,134.451614379883,46.8949356079102,218.89143371582,354.427429199219,86.6044158935547,332.820007324219,370.563568115234,103.910163879395,467.035308837891,141.816162109375,160.485397338867,310.624938964844,32.9154090881348
2023-01-17,384.555541992188,17.686279296875,235.563598632812,96.0500030517578,134.201614379883,134.621459960938,55.5829124450684,91.6154251098633,90.7457733154297,131.490005493164,132.373870849609,46.6109008789062,218.83251953125,350.624603271484,86.0218811035156,326.220001220703,370.050445556641,103.708122253418,468.498260498047,141.402572631836,159.495239257812,307.173645019531,32.2520599365234
2023-01-18,378.484161376953,17.3615684509277,231.114044189453,95.4599990844727,133.480941772461,132.294235229492,55.10791015625,91.2376708984375,90.5767822265625,128.779998779297,128.397018432617,45.458625793457,215.358688354492,345.008575439453,84.1868743896484,326.329986572266,364.050689697266,101.577575683594,461.472290039062,137.614669799805,157.089309692383,303.572265625,31.5046253204346
2023-01-19,375.728881835938,16.7501068115234,227.311309814453,93.6800003051758,133.540176391602,135.407150268555,54.0456504821777,93.3550872802734,92.4952697753906,127.169998168945,126.685958862305,44.8098564147949,216.290939331055,344.097045898438,83.4392776489258,315.779998779297,363.083648681641,102.229598999023,451.866851806641,134.704376220703,156.876480102539,291.558441162109,31.0468101501465
2023-01-20,382.728393554688,17.8231601715088,235.436233520508,97.25,136.106948852539,138.609573364258,54.7710952758789,98.693359375,97.4356384277344,133.419998168945,126.996192932129,45.3617858886719,220.118057250977,339.186706542969,84.7111511230469,342.5,371.313537597656,104.093826293945,462.088195800781,135.224578857422,156.145462036133,295.422393798828,31.6260738372803
2023-01-23,387.320556640625,19.1759567260742,237.749221801758,97.5199966430664,139.305480957031,142.488311767578,55.8122482299805,100.611946105957,99.1950988769531,143.75,129.055145263672,46.0396003723145,219.990463256836,335.403472900391,86.3811111450195,357.420013427734,373.573303222656,103.55200958252,474.119018554688,133.408599853516,155.74755859375,295.872528076172,32.0651931762695
2023-01-24,386.904846191406,19.2478866577148,237.219970703125,96.3199996948242,140.707321166992,142.358993530273,56.138500213623,98.6237640380859,97.1175537109375,143.889999389648,130.164505004883,46.1622505187988,219.705902099609,339.500427246094,87.0898742675781,363.829986572266,374.994323730469,104.516258239746,473.637786865234,134.136901855469,155.74755859375,297.945190429688,32.2987747192383
